type,place,address,price,beds,baths,sqft,url,work_time,work_lines,friend_time,friend_lines,park_acres,Borough,arrests
Rental Unit,Murray Hill (Queens),144-25 33rd Avenue #1F,1900,1 Bed,1 Bath,NA,https://streeteasy.com/building/144_25-33-avenue-flushing/1f,67,2,62,3,3,Queens,2.1
Rental Unit,Hudson Heights,647 West 174th Street #2F,2150,1 Bed,1 Bath,NA,https://streeteasy.com/building/647-west-174-street-new_york/2f,41,1,62,2,9.2,Manhattan,10.2
Rental Unit,Prospect Park South,180 East 17th Street #211,1500,Studio,1 Bath,NA,https://streeteasy.com/building/180-east-17-street-brooklyn/rental/3894223,42,2,79,2,6.4,Brooklyn,1.5
Rental Unit,Hunters Point,11-15 46 Road #4H,2200,1 Bed,1 Bath,NA,https://streeteasy.com/building/11_15-46-road-long_island_city/4h,41,1,36,2,2.7,Queens,85.1
Rental Unit,Hamilton Heights,580 Saint Nicholas Avenue #5E,2150,1 Bed,1 Bath,NA,https://streeteasy.com/building/580-st-nicholas-avenue-new_york/5e,34,1,62,2,18.1,Manhattan,5
Rental Unit,Washington Heights,523 West 160th Street #5A,1990,1 Bed,1 Bath,NA,https://streeteasy.com/building/523-west-160-street-new_york/5a,45,1,55,3,11.2,Manhattan,5
Rental Unit,Upper West Side,205 West 91st Street #4A,2300,Studio,1 Bath,NA,https://streeteasy.com/building/205-west-91-street-new_york/4a,31,1,51,2,19.8,Manhattan,4.2
Rental Unit,Upper West Side,330 West 85th Street #4F,2300,Studio,1 Bath,NA,https://streeteasy.com/building/328-west-85-street-new_york/4f,31,2,51,2,18.6,Manhattan,2.3
Rental Unit,Fort George,10 Hillside Avenue #4H,1825,1 Bed,1 Bath,NA,https://streeteasy.com/building/10-hillside-avenue-new_york/4h,47,1,74,2,18.1,Manhattan,2.8
Rental Unit,Kips Bay,220 East 29th Street #32,2275,Studio,1 Bath,NA,https://streeteasy.com/building/220-east-29-street-new_york/32,24,1,51,1,1.6,Manhattan,9.8
Co-op,Lenox Hill,221 East 76th Street #1B,2200,Studio,1 Bath,NA,https://streeteasy.com/building/221-east-76-street-new_york/1b,35,1,41,2,14.6,Manhattan,0.6
Rental Unit,East Harlem,334 East 105th Street #4C,2295,1 Bed,1 Bath,NA,https://streeteasy.com/building/334-east-105-street-new_york/4c,45,1,47,2,3.4,Manhattan,4.3
Co-op,Forest Hills,111-09 66th Avenue #1C,1980,1 Bed,1 Bath,NA,https://streeteasy.com/building/111_01-66-avenue-forest_hills/1c,71,1,71,2,44.2,Queens,1.1
Co-op,Kew Gardens,125-16 83 Drive #1E,1795,1 Bed,1 Bath,NA,https://streeteasy.com/building/125_16-83-drive-kew_gardens/1e,69,1,60,2,0.4,Queens,1.4
Rental Unit,Yorkville,417 East 81st Street #4C,2395,Studio,1 Bath,NA,https://streeteasy.com/building/417-east-81-street-new_york/rental/3893002,45,1,47,2,1.2,Manhattan,0.3
Co-op,Hudson Heights,100 Overlook Terrace #83,1950,1 Bed,1 Bath,NA,https://streeteasy.com/building/100-overlook-terrace-new_york/83,47,1,74,2,20.5,Manhattan,1.2
